Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cabo Verde,297944.0,287556.0,259099.0,270980.0,268561.0,258996.0,264410.0,274770.0,264609.0,257170.0,261543.0,287467.0,299882.0,309128.0,282118.0,279881.0,270562.0,244212.0,206852.0,199125.0,198911.0,202468.0,196557.0,182218.0
Cambodia,11911602.0,12092936.0,11583634.0,14205026.0,13197262.0,17387311.0,21378557.0,22971801.0,27255479.0,28489363.0,31237587.0,39980516.0,41064344.0,42468358.0,50934692.0,52031419.0,55454694.0,57614535.0,58734365.0,57989575.0,59011241.0,61727216.0,61383243.0,63414812.0
Cameroon,23997449.0,24575743.0,25554224.0,26347826.0,27092762.0,31733325.0,33205239.0,34815005.0,36127183.0,39639489.0,43107995.0,44109616.0,46525107.0,48001756.0,49824302.0,52010458.0,53378498.0,54131452.0,56436968.0,55771281.0,56165278.0,56455843.0,58327974.0,57750385.0
Canada,185777758.0,160959668.0,144290944.0,178056181.0,189126771.0,192324269.0,187700545.0,186412832.0,210319528.0,199914064.0,194615212.0,201026976.0,211677253.0,253382900.0,220856124.0,230607454.0,249940277.0,250642488.0,253283073.0,256187693.0,266446004.0,214052562.0,262808404.0,236267460.0
Caribbean,139789196.0,132768033.0,138704854.0,113769853.0,119456920.0,88148084.0,84947360.0,86377085.0,89298325.0,90102158.0,82977238.0,86225066.0,93256723.0,97723488.0,103496308.0,105211790.0,101720623.0,108869840.0,95413174.0,100985649.0,90625319.0,83639463.0,83994470.0,80941532.0
Central African Republic,4220247.0,4277304.0,4228308.0,4124003.0,4276203.0,4388872.0,4436065.0,4602768.0,4685048.0,4803719.0,7129119.0,7004769.0,7180932.0,5782818.0,6233155.0,6321564.0,7463029.0,7528064.0,7813023.0,8173170.0,7466526.0,7657542.0,7800348.0,7793311.0
Central America,379666514.0,400019132.0,393617607.0,414774157.0,431322348.0,427825231.0,443403329.0,462932730.0,467309139.0,457832757.0,466511014.0,455827859.0,491499793.0,527269937.0,542507233.0,540988864.0,564743210.0,561376186.0,569389864.0,577189611.0,564517112.0,566480474.0,574383088.0,539760134.0
Central Asia,106599521.0,121143211.0,127438792.0,131525974.0,132106052.0,140139003.0,150006693.0,157525016.0,151014551.0,169936208.0,158783261.0,193446209.0,170746864.0,191115336.0,194697216.0,206904525.0,221040973.0,219588813.0,219031269.0,211242094.0,219995199.0,214587408.0,234228049.0,215084771.0
Chad,7083220.0,8446514.0,7999414.0,8891555.0,7540817.0,10419398.0,10024118.0,9900424.0,9835731.0,9235543.0,14261928.0,10606055.0,15662621.0,13675944.0,13928054.0,13245946.0,15364118.0,14483237.0,15357510.0,15472865.0,15569394.0,15311788.0,15953197.0,15287381.0
Chile,36020868.0,39409030.0,40740978.0,39014905.0,40642976.0,42573052.0,42626951.0,38335523.0,39097120.0,38291089.0,41014732.0,44985038.0,44113789.0,44990453.0,42281019.0,44255499.0,43518100.0,43406678.0,47162495.0,43794654.0,42274977.0,41660485.0,40484722.0,36299515.0
